:START_ID,:END_ID,:TYPE,weight:int
军事,援助,RELATED_TO,17
弹药,补充,RELATED_TO,2
补充,压力,RELATED_TO,1
弹药,住,RELATED_TO,1
补充,速度,RELATED_TO,1
储备,关注,RELATED_TO,1
作品,创作,RELATED_TO,1
网友,发现,RELATED_TO,11
发现,武大靖,RELATED_TO,1
武大靖,回应,RELATED_TO,2
回应,言论,RELATED_TO,8
网友,评论,RELATED_TO,66
评论,武大靖,RELATED_TO,2
武大靖,共鸣,RELATED_TO,1
他,像,RELATED_TO,1
热浪,袭击,RELATED_TO,1
袭击,欧洲,RELATED_TO,1
热浪,威胁,RELATED_TO,1
气候,变化,RELATED_TO,12
热浪,影响,RELATED_TO,2
影响,城市,RELATED_TO,3
人员,伤亡,RELATED_TO,32
红色,预警,RELATED_TO,6
气温,升高,RELATED_TO,14
城镇,就业,RELATED_TO,2
城镇,调查,RELATED_TO,1
调查,失业率,RELATED_TO,1
失业率,变化,RELATED_TO,4
失业率,下降,RELATED_TO,3
失业率,维持,RELATED_TO,1
烤店,爆炸,RELATED_TO,26
爆炸,善后,RELATED_TO,2
原因,调查,RELATED_TO,74
烤店,伤亡,RELATED_TO,2
伤亡,情况,RELATED_TO,41
店主,控制,RELATED_TO,1
善后,进行,RELATED_TO,4
烤店,处置,RELATED_TO,1
玩具车,缺,RELATED_TO,1
缺,货,RELATED_TO,1
价,跳水,RELATED_TO,3
玩具车,欢迎,RELATED_TO,1
规格,介绍,RELATED_TO,1
价,分析,RELATED_TO,2
胎盘,捐献,RELATED_TO,1
药品,生产,RELATED_TO,1
胎盘,引发,RELATED_TO,1
引发,热议,RELATED_TO,367
机制,建议,RELATED_TO,1
黑市,交易,RELATED_TO,1
男子,殴打,RELATED_TO,17
殴打,女子,RELATED_TO,7
信息,发布,RELATED_TO,9
男子,尾随,RELATED_TO,2
女子,殴打,RELATED_TO,6
男子,袭击,RELATED_TO,4
飞机,降落,RELATED_TO,6
座位,占用,RELATED_TO,1
公司,回应,RELATED_TO,46
公司,违约,RELATED_TO,1
质量,质疑,RELATED_TO,5
公司,调查,RELATED_TO,16
面包车,坠,RELATED_TO,1
坠,事故,RELATED_TO,1
受害者,伤亡,RELATED_TO,1
善后,工作,RELATED_TO,11
警方,通报,RELATED_TO,174
警方,提示,RELATED_TO,2
事故,发生,RELATED_TO,93
发生,地点,RELATED_TO,12
发生,时间,RELATED_TO,4
发生,原因,RELATED_TO,1
台风,影响,RELATED_TO,10
影响,港交所,RELATED_TO,2
影响,股市,RELATED_TO,1
影响,全球,RELATED_TO,3
影响,港股,RELATED_TO,1
港股,通,RELATED_TO,1
谢震业,无缘,RELATED_TO,2
无缘,金牌,RELATED_TO,1
谢震业,道歉,RELATED_TO,2
谢震业,解释,RELATED_TO,1
解释,原因,RELATED_TO,1
谢震业,减速,RELATED_TO,1
无缘,领奖台,RELATED_TO,1
谢震业,致歉,RELATED_TO,1
梅西,加盟,RELATED_TO,15
加盟,迈阿密,RELATED_TO,11
